t;lo;la;a
1998-02-17T07:54:59;-19.1106000; 22.24110000; 129.65900
1998-02-17T07:54:59;-23.7669000; 23.51290000;  10.13030
1998-02-18T08:05:00; 27.1311000;-25.46110000; 321.63600
1998-02-18T08:05:00; 18.9590000;-24.86130000; 519.08500
1998-02-19T07:54:59; 40.1657000;-25.33960000; 593.89200
1998-02-19T07:54:59; 33.4568000;-26.13000000;  42.76670
1998-02-19T07:54:59; 30.5264000;-25.01080000; 232.78000
1998-02-19T07:54:59; 16.0386000;-22.47170000;  55.11340
1998-02-19T10:14:59; 41.4065000;-25.50340000; 603.56100
1998-02-19T10:14:59; 34.7658000;-26.13970000;  40.28110
1998-02-19T10:14:59; 31.8387000;-25.19160000; 179.17200
1998-02-20T08:05:00; 52.7148000;-26.26310000; 501.39800
1998-02-20T08:05:00; 43.6460000;-26.06420000; 149.82400
1998-02-21T07:52:00; 64.9989000;-25.87550000; 368.59900
1998-02-22T07:54:59; 77.4328000;-26.32750000;  98.18160
1998-02-24T07:50:00; 41.4514000;-24.55590000;  37.61840
1998-02-24T07:50:00; 45.7068000;-22.59160000;  28.23910
1998-02-24T07:50:00;-14.0792000; 15.63020000;  52.28640
1998-02-24T07:50:00;-10.3890000; 16.35640000;  25.25010
1998-02-25T07:50:00;-17.6486000;-26.43150000; 137.73200
1998-02-25T07:50:00;-14.0014000;-25.57860000;  95.10370
1998-02-25T07:50:00;  0.3170690; 15.87530000;1124.65000
1998-02-26T07:54:59; -4.9491800;-26.71230000;  50.79420
1998-02-26T07:54:59; -0.1686110;-25.44890000; 155.35500
1998-02-26T07:54:59; 16.2005000; 15.79180000; 393.17500
1998-02-26T07:54:59; 10.7992000; 15.29490000;  50.01530
1998-02-27T07:50:00;  7.8579600;-26.54070000; 187.19000
1998-02-27T07:50:00; 13.6258000;-25.44720000;  77.44730
1998-02-27T07:50:00; 23.0122000; 14.93740000;  41.39660
1998-02-27T07:50:00; 29.3291000; 15.96410000;  46.98260
1998-02-27T08:24:59;  7.8698600;-26.56670000; 123.08000
1998-02-27T08:24:59; 13.9743000;-25.30130000;  77.71270
1998-02-27T08:24:59; 23.7401000; 15.00420000;  36.32860
1998-02-27T08:24:59; 29.6906000; 15.68690000; 105.86000
1998-03-01T07:52:00; 63.2037000;-22.21040000;  86.65170
1998-03-01T07:52:00;  8.5385200;-23.99590000; 266.42200
1998-03-01T07:52:00; 13.8340000;-24.19290000; 128.31700
1998-03-01T07:52:00; 56.4807000; 13.62650000;  51.98630
1998-03-02T08:05:00; 23.5406000;-24.15070000; 821.75200
1998-03-03T09:20:00; 41.6957000;-23.98000000; 543.36100
1998-03-03T09:20:00; 34.3228000;-24.20250000; 572.14600
1998-03-04T07:25:00; 45.8306000;-25.14750000; 692.45000
1998-03-04T07:25:00; 54.6730000;-24.81840000; 356.19300
1998-03-06T07:54:59; 70.7724000;-25.86810000; 254.14600
1998-03-07T07:50:00;-46.7880000;-16.26740000; 197.48600
1998-03-10T07:45:00;-38.3362000;-39.18460000; 219.61200
1998-03-10T07:45:00;-42.3975000;-38.32930000; 149.94100
1998-03-11T07:50:00;-31.4069000;-41.23340000;  22.28490
1998-03-11T07:50:00;-25.3703000;-39.52530000; 247.46100
1998-03-11T07:50:00;-30.4881000;-39.43530000;  46.44680
1998-03-11T07:50:00;-31.0041000;-38.13220000;  12.27840
1998-03-11T07:50:00;-70.9847000;-15.58130000; 179.10500
1998-03-12T07:39:59;-12.8026000;-39.51940000; 414.57800
1998-03-12T07:39:59;-17.1119000;-40.30790000;  17.13540
1998-03-12T07:39:59;-57.9862000;-15.16220000; 230.76000
1998-03-13T10:25:00; -6.1148300;-41.25510000; 226.77500
1998-03-13T10:25:00;  0.9878560;-39.27920000; 407.47900
1998-03-13T10:25:00;-43.8699000;-15.54880000; 309.80900
1998-03-14T07:54:59;  4.3078000;-41.78300000; 316.21200
1998-03-14T07:54:59; 12.6005000;-39.62440000; 495.94600
1998-03-14T07:54:59;-22.3295000;-22.13040000; 367.07800
1998-03-14T07:54:59;-17.6066000;-20.89930000; 347.25000
1998-03-14T07:54:59;-31.5929000;-15.82020000; 331.22300
1998-03-16T07:34:59; 28.1314000;-42.02840000; 200.92800
1998-03-16T07:34:59;  5.2994900;-22.28750000;2708.65000
1998-03-16T07:34:59; -5.4512400;-17.10890000; 730.62600
1998-03-17T07:52:59; 40.2722000;-42.57620000;  84.13530
1998-03-17T07:52:59; 18.2261000;-22.74700000;2249.81000
1998-03-17T07:52:59;  7.5363000;-16.90070000; 315.29100
1998-03-18T07:54:59; 26.7534000;-23.94240000; 942.78700
1998-03-18T07:54:59; 35.4409000;-22.13060000; 854.59100
1998-03-18T07:54:59; 20.2764000;-17.13410000; 204.22400
1998-03-19T07:45:00; 39.2711000;-24.38590000; 835.73000
1998-03-19T07:45:00; 48.4686000;-22.50190000; 817.96600
1998-03-19T07:45:00; 32.9041000;-17.67040000; 121.17500
1998-03-19T07:45:00;-56.5869000; 22.75500000; 100.70700
1998-03-19T07:45:00;-52.7346000; 23.55860000;  43.67060
1998-03-20T07:39:59; 52.6008000;-24.09350000;1002.41000
1998-03-20T07:39:59; 61.1194000;-22.10510000; 618.61500
1998-03-20T07:39:59; 45.8818000;-17.47700000; 105.60400
1998-03-20T07:39:59;-43.5341000; 22.39270000; 240.57000
1998-03-20T07:39:59;-38.8750000; 22.33900000;  58.70100
1998-03-21T07:50:00; 64.9563000;-24.67380000; 763.85500
1998-03-21T07:50:00; 74.8870000;-22.23790000; 212.13600
1998-03-21T07:50:00;-47.1208000;-19.42580000; 121.49200
1998-03-21T07:50:00; 58.7109000;-17.53260000;  65.58860
1998-03-22T08:05:00; 75.5949000;-24.78800000; 114.55200
1998-03-22T08:05:00;-67.4637000;-22.71040000;  80.34840
1998-03-22T08:05:00;-12.8264000; 21.97510000;  55.26410
1998-03-24T07:30:00;-57.5467000;-23.25230000; 263.85400
1998-03-24T07:30:00;-47.9454000;-23.48320000;  91.88910
1998-03-24T07:30:00;-42.3581000;-22.64200000;  12.81210
1998-03-24T07:30:00; 12.3063000; 21.56500000;  73.80820
1998-03-25T07:56:59;-27.7209000;-25.34320000; 244.22200
1998-03-25T07:56:59;-29.1802000;-23.48240000; 102.57800
1998-03-25T07:56:59; 19.4238000; 19.59490000;  17.75570
1998-03-25T07:56:59; 25.9089000; 21.29220000; 353.68500
1998-03-25T07:56:59; 21.4272000; 21.40880000; 129.63000
1998-03-25T07:56:59; 18.4051000; 21.10300000;  41.27060
1998-03-26T07:50:00;-32.1809000;-24.55500000; 777.06000
1998-03-26T07:50:00;-14.6668000;-24.68850000; 378.25700
